country_code,year,GDP_growth_pct,country_name,GDP_per_capita_growth_pct,Inflation_CPI_pct,Exports_pct_GDP,Current_Account_pct_GDP,Govt_Expenditure_pct_GDP,External_Debt_pct_GNI,Energy_Use_per_capita,Fuel_Exports_pct_merchandise,Fuel_Imports_pct_merchandise,Official_Exchange_Rate_per_USD
DZA,2018,1.40000000088281,Algeria,-0.546019580108478,4.26999020467083,23.423105738908,-8.68941296193564,,2.99935858462774,1442.30211193457,,,116.593791666666
DZA,2019,0.899999999219148,Algeria,-0.939992962004737,1.95176821052891,20.407941949491,-8.76373598794007,,2.89761005806805,1463.50985736009,,,119.353558333333
DZA,2020,-4.99999999908597,Algeria,-6.61247509707083,2.41513094083413,15.5352011116191,-11.0309095376358,,3.19351908942954,1373.67832094406,,,126.7768
DZA,2021,3.79999999900707,Algeria,2.13263632683078,7.22606307415477,23.4443672905951,-2.42326388144805,,4.04120760001954,1451.44517709293,,,135.064058333333
DZA,2022,3.60000000094915,Algeria,1.96825188100587,9.26551551551552,30.7915561763341,8.62297009518779,,3.23500775227816,1499.50999958517,,,141.994975
DZA,2023,4.10000000005964,Algeria,2.55120301943617,9.32217375928322,23.7900604738163,2.62033732399995,,2.9975548859142,1503.41406578063,,,135.842933333333
DZA,2024,3.69999999907979,Algeria,2.25996527082104,4.04611455313434,19.8523800653814,-1.0224994485325,,2.66774817396092,,,,134.053241666666
DZA,2025,,Algeria,,,,,,,,,,
GHA,2015,2.12075933817334,Ghana,-0.208325820413904,17.1499695007878,33.8317048233696,-5.7116156025854,17.3642996458735,65.2895144150849,325.604049227551,21.7019621780148,11.5764217138408,3.71464166666667
GHA,2016,3.37346574966936,Ghana,1.04704406736222,17.4546347070868,31.193239148362,-5.04424020618629,18.2895853622151,64.6271141908687,327.930479432879,12.9823297234949,1.74880288356562,3.90981666666667
GHA,2017,8.12889488100956,Ghana,5.78094585817396,12.3719215507048,33.8768747799681,-3.31643027470141,17.355240305187,58.7440328132317,351.113971311685,25.3456087168229,2.37127014071066,4.35053333333333
GHA,2018,6.20007768127284,Ghana,4.01895338314475,7.80876516610703,33.4548954489265,-3.03986602950099,17.6018475152484,54.6463726994366,378.657496575592,30.6056138754779,2.0416534987436,4.585325
GHA,2019,6.5077747939152,Ghana,4.39063133478864,7.14364003330857,37.4495998625311,-2.72699375813964,17.5109450941033,49.8694571261813,380.421155062376,31.7022617995334,2.86441670768118,5.21736666666667
GHA,2020,0.513941670628171,Ghana,-1.46830801654092,9.88728956269944,31.5254204867115,-3.04816313374944,21.8835544057028,56.9614944269336,392.373098140481,,,5.59570833333333
GHA,2021,5.07646643533542,Ghana,3.03800270044563,9.9710886750444,30.0551194696231,-2.8205574143058,20.7508748712557,60.4375749224229,382.191892428598,26.6641837008799,14.9113609492557,5.8057
GHA,2022,3.80484980952164,Ghana,1.8305124767942,31.2558951049016,34.6640435533587,-2.33126484639335,22.6789929507667,60.022746907535,361.562855486466,31.0014653616144,26.7540538635122,8.2724
GHA,2023,3.14009099763754,Ghana,1.19022304172192,38.1069656296501,31.7708164934404,-0.911884130673809,,55.2963757239878,369.331287865765,24.5298166225955,32.1037079226319,11.0204083333333
GHA,2024,5.59045469593266,Ghana,3.62907892202038,22.8483281157842,35.4733766353922,2.04180009736218,,46.9171668170777,,,,14.1819416666667
GHA,2025,,Ghana,,,,,,,,,,
MAR,2015,4.34458297635238,Morocco,3.10634719191513,1.5579071134626,29.9958538899695,-1.95690775142638,23.0606083372986,41.0525743321797,563.603106638362,1.93131182632741,17.8005131483618,9.76434827950111
